Authors,Title,Year,Source,,
"Agosta, F; Canu, E; Inuggi, A; Chi’_, A; Riva, N; Silani, V; Calvo, A; Messina, S; Falini, A; Comi, G; Filippi, M.",Resting state functional connectivity alterations in primary lateral sclerosis,2014,Neurobiology of Aging,,
"Penkova, A; Rattanakijsuntorn, K; Sadhal, S.S; Tang, Y; Moats, R; Hughes, P.M; Robinson, M.R; Lee, S.S.",A technique for drug surrogate diffusion coefficient measurement by intravitreal injection,2014,International Journal of Heat and Mass Transfer,,
"Zerbi, V; Jansen, D; Wiesmann, M; Fang, X; Broersen, L.M; Veltien, A; Heerschap, A; Kiliaan, A.J.",Multinutrient diets improve cerebral perfusion and neuroprotection in a murine model of Alzheimer's disease,2014,Neurobiology of Aging,,
"Lee, D.J; Ahmed, H.U; Moore, C.M; Emberton, M; Ehdaie, B.",Multiparametric Magnetic Resonance Imaging in the Management and Diagnosis of Prostate Cancer: Current Applications and Strategies,2014,Current Urology Reports,,
"Kokkonen, H.T; Suomalainen, J.-S; Joukainen, A; Kr’_ger, H; Sirola, J; Jurvelin, J.S; Salo, J; T’_yr’_s, J.",In vivo diagnostics of human knee cartilage lesions using delayed CBCT arthrography,2014,Journal of Orthopaedic Research,,
"Serres, S; Martin, C.J; Sarmiento Soto, M; Bristow, C; O'Brien, E.R; Connell, J.J; Khrapitchev, A.A; Sibson, N.R.",Structural and functional effects of metastases in rat brain determined by multimodal MRI,2014,International Journal of Cancer,,
"Groeschel, S; Tournier, J.-D; Northam, G.B; Baldeweg, T; Wyatt, J; Vollmer, B; Connelly, A.",Identification and interpretation of microstructural abnormalities in motor pathways in adolescents born preterm,2014,NeuroImage,,
"Willats, L; Raffelt, D; Smith, R.E; Tournier, J.-D; Connelly, A; Calamante, F.",Quantification of track-weighted imaging (TWI): Characterisation of within-subject reproducibility and between-subject variability,2014,NeuroImage,,
"Kim, K.A; Park, M.-S; Ji, H.-J; Park, J.Y; Han, K.-H; Kim, M.-J; Kim, K.W.",Diffusion and perfusion MRI prediction of progression-free survival in patients with hepatocellular carcinoma treated with concurrent chemoradiotherapy,2014,Journal of Magnetic Resonance Imaging,,
"Yablonskiy, D.A; Sukstanskii, A.L; Quirk, J.D; Woods, J.C; Conradi, M.S.",Probing lung microstructure with hyperpolarized noble gas diffusion MRI: Theoretical models and experimental results,2014,Magnetic Resonance in Medicine,,
"Buchanan, C.R; Pernet, C.R; Gorgolewski, K.J; Storkey, A.J; Bastin, M.E.",Test-retest reliability of structural brain networks from diffusion MRI,2014,NeuroImage,,
"Tax, C.M.W; Jeurissen, B; Vos, S.B; Viergever, M.A; Leemans, A.",Recursive calibration of the fiber response function for spherical deconvolution of diffusion MRI data,2014,NeuroImage,,
"Aarnink, S.H; Vos, S.B; Leemans, A; Jernigan, T.L; Madsen, K.S; Baar’©, W.F.C.",Automated longitudinal intra-subject analysis (ALISA) for diffusion MRI tractography,2014,NeuroImage,,
"Karakas, E; Karakas, O; Cullu, N; Badem, O.F; Boyaci, F.N; Gulum, M; Cece, H.",Diffusion-Weighted MRI of the Testes in Patients with Varicocele: A Preliminary Study,2014,American Journal of Roentgenology,,
"Koay, C.G.",Pseudometrically constrained centroidal voronoi tessellations: Generating uniform antipodally symmetric points on the unit sphere with a novel acceleration strategy and its applications to diffusion and three-dimensional radial MRI,2014,Magnetic Resonance in Medicine,,
"Wathle, G.K; Tjora, E; Ersland, L; Dimcevski, G; Salvesen, O.O; Molven, A; Nj’Ùlstad, P.R; Haldorsen, I.S.",Assessment of exocrine pancreatic function by secretin-stimulated magnetic resonance cholangiopancreaticography and diffusion-weighted imaging in healthy controls,2014,Journal of Magnetic Resonance Imaging,,
"De Rooij, M; Hamoen, E.H.J; F’_tterer, J.J; Barentsz, J.O; Rovers, M.M.",Accuracy of multiparametric MRI for prostate cancer detection: A meta-analysis,2014,American Journal of Roentgenology,,
