Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Rasekhi, K., Oryan, S., Nasehi, M., Zarrindast, M.-R.",Involvement of the nucleus accumbens shell glutamatergic system in ACPA-induced impairment of inhibitory avoidance memory consolidation,2014,Behavioural Brain Research,269,,,28,36,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899889360&partnerID=40&md5=50b0cbbb66c5ca5c88c5bd06b5e67a88,Article,Scopus,2-s2.0-84899889360
"Kadivar, M., Farahmandfar, M., Ranjbar, F.E., Zarrindast, M.-R.",Increased calcium/calmodulin-dependent protein kinase II activity by morphine-sensitization in rat hippocampus,2014,Behavioural Brain Research,267,,,74,82,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897525803&partnerID=40&md5=1a5d06d13f3bd13b91f0c7746fd8a8e0,Article,Scopus,2-s2.0-84897525803
"Pudas, S., Persson, J., Nilsson, L.-G., Nyberg, L.",Midlife memory ability accounts for brain activity differences in healthy aging,2014,Neurobiology of Aging,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902704540&partnerID=40&md5=c48a7478378ccf967df8004c78ac1a49,Article in Press,Scopus,2-s2.0-84902704540
"Ortega, A., Piefke, M., Markowitsch, H.J.",A Bayesian latent group analysis for detecting poor effort in a sample of cognitively impaired patients,2014,Journal of Clinical and Experimental Neuropsychology,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902702159&partnerID=40&md5=55ee94b00137105b1cc8820ca2016779,Article in Press,Scopus,2-s2.0-84902702159
"Souchay, C., Guillery-Girard, B., Pauly-Takacs, K., Wojcik, D.Z., Eustache, F.",Subjective experience of episodic memory and metacognition: A neurodevelopmental approach,2013,Frontiers in Behavioral Neuroscience,7,DEC,,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84891645222&partnerID=40&md5=af6a080a30485d7c65348f134f1b9a77,Review,Scopus,2-s2.0-84891645222
"Duff, M.C., Gallegos, D.R., Cohen, N.J., Tranel, D.",Learning in Alzheimer's disease is facilitated by social interaction,2013,Journal of Comparative Neurology,521,18,,4356,4369,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84886685681&partnerID=40&md5=b04c793fa5982c63a2b39a064132862e,Article,Scopus,2-s2.0-84886685681
"Kaalund, S.S., Newburn, E.N., Ye, T., Tao, R., Li, C., Deep-Soboslay, A., Herman, M.M., Hyde, T.M., Weinberger, D.R., Lipska, B.K., Kleinman, J.E.","Contrasting changes in DRD1 and DRD2 splice variant expression in schizophrenia and affective disorders, and associations with SNPs in postmortem brain",2013,Molecular Psychiatry,,,,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889253573&partnerID=40&md5=b9e43407bfd97b48910e7c281ed8c6bd,Article in Press,Scopus,2-s2.0-84889253573
"Deuker, L., Olligs, J., Fell, J., Kranz, T.A., Mormann, F., Montag, C., Reuter, M., Elger, C.E., Axmacher, N.",Memory consolidation by replay of stimulus-specific neural activity,2013,Journal of Neuroscience,33,49,,19373,19383,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889047991&partnerID=40&md5=ff3b4fbd44469213d6129286d6cecb2a,Article,Scopus,2-s2.0-84889047991
"Sherrill, K.R., Erdem, U.M., Ross, R.S., Brown, T.I., Hasselmo, M.E., Stern, C.E.",Hippocampus and retrosplenial cortex combine path integration signals for successful navigation,2013,Journal of Neuroscience,33,49,,19304,19313,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-84889047683&partnerID=40&md5=c468eb584e300fbb0b7c5e7155a0d3c9,Article,Scopus,2-s2.0-84889047683
"Aggleton, J.P., Brown, M.W., Albasser, M.M.",Contrasting brain activity patterns for item recognition memory and associative recognition memory: Insights from immediate-early gene functional imaging,2012,Neuropsychologia,50,13,,3141,3155,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868300219&partnerID=40&md5=7f98f505ab64bb26b10c31578647dd55,Article,Scopus,2-s2.0-84868300219
