Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Rasekhi, K., Oryan, S., Nasehi, M., Zarrindast, M.-R.",Involvement of the nucleus accumbens shell glutamatergic system in ACPA-induced impairment of inhibitory avoidance memory consolidation,2014,Behavioural Brain Research,269,,,28,36,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899889360&partnerID=40&md5=50b0cbbb66c5ca5c88c5bd06b5e67a88,Article,Scopus,2-s2.0-84899889360
"Kadivar, M., Farahmandfar, M., Ranjbar, F.E., Zarrindast, M.-R.",Increased calcium/calmodulin-dependent protein kinase II activity by morphine-sensitization in rat hippocampus,2014,Behavioural Brain Research,267,,,74,82,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897525803&partnerID=40&md5=1a5d06d13f3bd13b91f0c7746fd8a8e0,Article,Scopus,2-s2.0-84897525803
"Pudas, S., Persson, J., Nilsson, L.-G., Nyberg, L.",Midlife memory ability accounts for brain activity differences in healthy aging,2014,Neurobiology of Aging,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902704540&partnerID=40&md5=c48a7478378ccf967df8004c78ac1a49,Article in Press,Scopus,2-s2.0-84902704540
"Ortega, A., Piefke, M., Markowitsch, H.J.",A Bayesian latent group analysis for detecting poor effort in a sample of cognitively impaired patients,2014,Journal of Clinical and Experimental Neuropsychology,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902702159&partnerID=40&md5=55ee94b00137105b1cc8820ca2016779,Article in Press,Scopus,2-s2.0-84902702159
"McKenzie, S., Frank, AndreaJ., Kinsky, NathanielR., Porter, B., RiviÃ¨re, PamelaD., Eichenbaum, H.","Hippocampal Representation of Related and Opposing Memories Develop within Distinct, Hierarchically Organized Neural Schemas",2014,Neuron,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902051691&partnerID=40&md5=4266a8170251d01c53a246c4895aceef,Article in Press,Scopus,2-s2.0-84902051691
"Malter, M.P., Frisch, C., Schoene-Bake, J.C., Helmstaedter, C., Wandinger, K.P., Stoecker, W., Urbach, H., Surges, R., Elger, C.E., Vincent, A.V., Bien, C.G.",Outcome of limbic encephalitis with VGKC-complex antibodies: relation to antigenic specificity,2014,Journal of Neurology,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902225703&partnerID=40&md5=334a6006ee9093dcdeb1f0d13596a4cc,Article in Press,Scopus,2-s2.0-84902225703
"Olarte-SÃ¡nchez, C.M., Kinnavane, L., Amin, E., Aggleton, J.P.",Contrasting Networks for Recognition Memory and Recency Memory Revealed by Immediate-Early Gene Imaging in the Rat,2014,Behavioral Neuroscience,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902301133&partnerID=40&md5=dbd33339f2a671273f6d18a580e61eda,Article in Press,Scopus,2-s2.0-84902301133
"Koh, M.T., Spiegel, A.M., Gallagher, M.",Age-associated changes in hippocampal-dependent cognition in Diversity Outbred mice,2014,Hippocampus,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84902023078&partnerID=40&md5=b9415df79a3f923b43e5e7bfc154f9f4,Article in Press,Scopus,2-s2.0-84902023078
"Tomaiuolo, M., Gonzalez, C., Medina, J.H., Piriz, J.",Lateral Habenula determines long-term storage of aversive memories,2014,Frontiers in Behavioral Neuroscience,8,MAY,170,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84901334271&partnerID=40&md5=971aef975cf47db11b8b00f57ecded58,Article,Scopus,2-s2.0-84901334271
"Gibbs, M.",Reflections on glycogen and Î_-amyloid: why does glycogenolytic Î_2-adrenoceptor stimulation not rescue memory after Î_-amyloid?,2014,Metabolic Brain Disease,,,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84901560720&partnerID=40&md5=589f927094b6a153cda6af88eab7be6b,Article in Press,Scopus,2-s2.0-84901560720
