Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Hopkins, A.L; Lust, W.D; Haacke, E.M; Wielopolski, P; Barr, R.G; Bratton, C.B.",The stability of proton T2 effects of oxygen-17 water in experimental cerebral ischemia,1991,Magnetic Resonance in Medicine,22,1,,167,174,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025918717&partnerID=40&md5=19799d84fcd7fec76d3cc2c06ba00093,Article,Scopus,2-s2.0-0025918717
"Zhang, Y; LeBihan, D; Mattiello, J; Joines, W.T; Samulski, T.V.",Phantom evaluation of temperature measurements using MR molecular diffusion technique,1991,Proceedings of the Annual Conference on Engineering in Medicine and Biology,13,pt 2,,993,994,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026368875&partnerID=40&md5=7c7633bf9075375f3b5536daaabc2612,Conference Paper,Scopus,2-s2.0-0026368875
"Moseley, M.E; Asgari, H; Mintorovitch, J; Kucharczyk, J.",Early changes in diffusion and perfusion following cerebral ischemia,1991,Proceedings of the Annual Conference on Engineering in Medicine and Biology,13,pt 1,,279,280,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026390972&partnerID=40&md5=8458ad6a0b1f2421d5db446c468b92ac,Conference Paper,Scopus,2-s2.0-0026390972
"Groch, M.W; Urbon, J.A; Erwin, W.D; Al-Doohan, S.",An MRI tissue equivalent lesion phantom using a novel polysaccharide material,1991,Magnetic Resonance Imaging,9,3,,417,421,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025836268&partnerID=40&md5=4eff5ea244813ba6049c7b2a78a8f059,Article,Scopus,2-s2.0-0025836268
"Gullberg, G.T; Ma, X; Parker, D.L; Ghosh Roy, D.N.",An MRI perfusion model incorporating nonequilibrium exchange between vascular and extravascular compartments,1991,Magnetic Resonance Imaging,9,1,,39,52,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026099491&partnerID=40&md5=3876e538503cc635b1a47e7446f00bc0,Article,Scopus,2-s2.0-0026099491
"Samulski, T.V; MacFall, J; Zhang, Y; Palmer, D; Charles, C; Grant, W.",More on the feasibility of using MRI for noninvasive thermometry in hyperthermia,1991,"American Society of Mechanical Engineers, Heat Transfer Division, (Publication) HTD",189,,,57,60,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026406061&partnerID=40&md5=26058b978911da266ed7cdb0e5bb6bed,Conference Paper,Scopus,2-s2.0-0026406061
"Cohen, M.S; Weisskoff, R.M.",Ultra-fast imaging,1991,Magnetic Resonance Imaging,9,1,,1,37,,109,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026099490&partnerID=40&md5=e001b3dd223e5fd63591a1ef5de1f4c1,Review,Scopus,2-s2.0-0026099490
"Toffanin, R; Mlyníçrik, V; Russo, S; Szomolíçnyi, P; Piras, A; Vittur, F.",Proteoglycan depletion and magnetic resonance parameters of articular cartilage,1991,Archives of Biochemistry and Biophysics,290,2,,235,242,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-27244462202&partnerID=40&md5=199d09eb9e94bbd3f7bd6648f4bc64c8,Article,Scopus,2-s2.0-27244462202
"Majors, P.D; Smith, D.M; Davis, P.J.",Effective diffusivity measurement in porous media via NMR radial imaging,1991,Chemical Engineering Science,46,12,,3037,3043,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001667569&partnerID=40&md5=45f792baf5a56ee07746619b352f3197,Article,Scopus,2-s2.0-0001667569
"Stehling, M.K; Turner, R; Mansfield, P.",Echo-planar imaging: Magnetic resonance imaging in a fraction of a second,1991,Science,254,5028,,43,50,,211,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025991499&partnerID=40&md5=934120d1d9901bc6546a82b67ba0d1a0,Article,Scopus,2-s2.0-0025991499
"Hendee, W.R.",MRI offers case study of technology's impact.,1991,Diagnostic imaging,13,11,,69,71,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026253409&partnerID=40&md5=9faf44cd420979dd1e5eef986711a0d6,Article,Scopus,2-s2.0-0026253409
"Johansen, K.S; Racoveanu, N.T.",Big ticket health technology: Is rational utilization possible?,1991,Medical Progress through Technology,17,2,,85,91,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025833569&partnerID=40&md5=46792540a43b8d260af91c2ecf31f299,Article,Scopus,2-s2.0-0025833569
"Pí_tz, B; Barsky, D; Schulten, K.",Edge enhancement by diffusion: microscopic magnetic resonance imaging of an ultrathin glass capillary,1991,Chemical Physics Letters,183,5,,391,396,,10,http://www.scopus.com/inward/record.url?eid=2-s2.0-33747567606&partnerID=40&md5=d62009a46ca74e4bc266126f61da7e35,Article,Scopus,2-s2.0-33747567606
"Kwiat, D; Einav, S; Elad, D.",Possible detection of turbulent blood flow using multiparametric encoding gradients in MRI,1991,Medical Physics,18,2,,316,323,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025726399&partnerID=40&md5=ebe4c5e64afe4255f5cdf1e03bea3d83,Article,Scopus,2-s2.0-0025726399
"Hoppszallern, S; Hughes, C; Zimmerman, R.A.",MRI: update on technology diffusion and acquisition.,1991,Hospital technology series,10,8,,1,32,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026144346&partnerID=40&md5=0513c58bf01a885b8d64bf93f74d9137,Article,Scopus,2-s2.0-0026144346
"Maki, J.H; MacFall, J.R; Johnson, G.A.",The use of gradient flow compensation to separate diffusion and microcirculatory flow in MRI,1991,Magnetic Resonance in Medicine,17,1,,95,107,,16,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026098418&partnerID=40&md5=ccb271726b3e272992c525831a299184,Article,Scopus,2-s2.0-0026098418
"Chenevert, T.L; Pipe, J.G; Williams, D.M; Brunberg, J.A.",Quantitative measurement of tissue perfusion and diffusion in vivo,1991,Magnetic Resonance in Medicine,17,1,,197,212,,23,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026011071&partnerID=40&md5=4895ac5043923364cd4ddf2930927eec,Article,Scopus,2-s2.0-0026011071
"Hailey, D.M; Crowe, B.L.",The introduction and evaluation of magnetic resonance imaging in Australia,1991,Health policy,17,1,,25,37,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026073976&partnerID=40&md5=022d212107debde9a9e4e671e4a77782,Article,Scopus,2-s2.0-0026073976
"Delannoy, J; Chen, C.-N; Turner, R; Levin, R.L; Bihan, D.L.",Noninvasive temperature imaging using diffusion MRI,1991,Magnetic Resonance in Medicine,19,2,,333,339,,55,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025830762&partnerID=40&md5=7b52ec1456700a06bea4c415a6d8eb0c,Conference Paper,Scopus,2-s2.0-0025830762
"Moseley, M.E; Kucharczyk, J; Asgari, H.S; Norman, D.",Anisotropy in diffusion-weighted MRI,1991,Magnetic Resonance in Medicine,19,2,,321,326,,90,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025808046&partnerID=40&md5=b4c143bd6fb63dce94528cdb2bf632ec,Conference Paper,Scopus,2-s2.0-0025808046
"Hazlewood, C.F; Rorschach, H.E; Lin, C.",Diffusion of water in tissues and MRI,1991,Magnetic Resonance in Medicine,19,2,,214,216,,20,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025917250&partnerID=40&md5=74bae6d4737f6cb263ba2f9203ae0173,Conference Paper,Scopus,2-s2.0-0025917250
"Mintorovitch, J; Moseley, M.E; Chileuitt, L; Shimizu, H; Cohen, Y; Weinstein, P.R.",Comparison of diffusion- and T2-weighted MRI for the early detection of cerebral ischemia and reperfusion in rats,1991,Magnetic Resonance in Medicine,18,1,,39,50,,340,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026087019&partnerID=40&md5=977af394e299e54e393db6779a8fc7dc,Article,Scopus,2-s2.0-0026087019
"MacFall, J.R; Maki, J.H; Johnson, G.A; Hedlund, L; Benveniste, H; Copher, G.",Diffusion/microcirculation MRI in the rat brain,1991,Magnetic Resonance in Medicine,19,2,,305,310,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025820024&partnerID=40&md5=5c16aa195b3147092ee9a5e67132e272,Conference Paper,Scopus,2-s2.0-0025820024
"Chenevert, T.L; Pipe, J.G.",Effect of bulk tissue motion on quantitative perfusion and diffusion magnetic resonance imaging,1991,Magnetic Resonance in Medicine,19,2,,261,265,,21,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025881159&partnerID=40&md5=d30dceb36c87302df6d3f7683bbb866b,Conference Paper,Scopus,2-s2.0-0025881159
"Jianhui Zhong, Gore, J.C.",Studies of restricted diffusion in heterogeneous media containing variations in susceptibility,1991,Magnetic Resonance in Medicine,19,2,,276,284,,30,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025916172&partnerID=40&md5=cecfb704812e9aef7aa3632bb233bd0c,Conference Paper,Scopus,2-s2.0-0025916172
"Doran, M; Hajnal, J.V; Young, I.R; Bydder, G.M.",Diffusion-weighted MRI reveals white matter tracts.,1991,Diagnostic imaging,13,1,,50,55,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025718227&partnerID=40&md5=2df096e0d45a4cd4f47222ab908d0420,Article,Scopus,2-s2.0-0025718227
"Le Bihan, D.",Future directions in MRI of diffusion and microcirculation,1991,Magnetic Resonance in Medicine,19,2,,209,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025887685&partnerID=40&md5=eee616a91e0fdc5dcdfc5a9738820b7a,Conference Paper,Scopus,2-s2.0-0025887685
"Moseley, M.E; Sevick, R; Wendland, M.F; White, D.L; Mintorovitch, J; Asgari, H.S; Kucharczyk, J.",Ultrafast magnetic resonance imaging. Diffusion and perfusion,1991,Canadian Association of Radiologists Journal,42,1,,31,38,,14,http://www.scopus.com/inward/record.url?eid=2-s2.0-0026013524&partnerID=40&md5=62b4ee1f727c31111a6d104d4dd7fff3,Conference Paper,Scopus,2-s2.0-0026013524
"Bloom, B.S; Hillman, A.L; Schwartz, J.S.",Abruptly changing patterns of diffusion and use of extracorporeal shock-wave renal lithotripsy,1991,American Journal of Kidney Diseases,18,1,,103,107,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025821031&partnerID=40&md5=cc10dabe8eee6905b4cc986ba2ac287c,Article,Scopus,2-s2.0-0025821031
"Burstein, D; Taratuta, E; Manning, W.J.",Factors in myocardial ''perfusion'' imaging with ultrafast MRI and Gd-DTPA administration,1991,Magnetic Resonance in Medicine,20,2,,299,305,,43,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025870664&partnerID=40&md5=35708f759c4e07433bce04c265b49fca,Article,Scopus,2-s2.0-0025870664
"Jiang, Q; Knight, R.A; Chopp, M; Helpern, J.A; Ordidge, R.J; Qing, Z.X; Hetzel, F.W.",1H Magnetic resonance imaging of normal brain tissue response to photodynamic therapy,1991,Neurosurgery,29,4,,538,543,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025925394&partnerID=40&md5=8968386fd2d07dcbb8ab1d08f055962b,Article,Scopus,2-s2.0-0025925394
"Blinc, A; Planinsic, G; Keber, D; Jarh, O; Lahajnar, G; Zidansek, A; Demsar, F.",Dependence of blood clot lysis on the mode of transport of urokinase into the clot - A magnetic resonance imaging study in vitro,1991,Thrombosis and Haemostasis,65,5,,549,552,,45,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025907705&partnerID=40&md5=038e31ae540c82395345d3fa6d1c5f24,Article,Scopus,2-s2.0-0025907705
"Moseley, M.E; Mintorovitch, J; Cohen, Y; Asgari, H.S; Derugin, N; Norman, D; Kucharczyk, J.","Early detection of ischemic injury: comparison of spectroscopy, diffusion-, T2-, and magnetic susceptibility-weighted MRI in cats.",1990,"Acta Neurochirurgica, Supplement",51,,,207,209,,62,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025684678&partnerID=40&md5=b1b26409fc86e0aa7f8df5d4b1ff1551,Article,Scopus,2-s2.0-0025684678
"Rosen, B.R; McKinstry, R.M; Weisskoff, R.M; Cohen, M.S; Kwong, K.K; Rzedzian, R; Brady, T.J.",Diffusion imaging with single shot MRI,1990,Proceedings of the Annual Conference on Engineering in Medicine and Biology,,pt 1,,71,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0025551938&partnerID=40&md5=5b841d7874a83e6acfb3c7724d82c68c,Conference Paper,Scopus,2-s2.0-0025551938
